data_set_id;Range;Relative Prevalence of Top Pitch Classes;Interval Between Most Prevalent Pitch Classes;Pitch Class Variability;Most Common Melodic Interval;Chromatic Motion;Stepwise Motion;Vertical Dissonance Ratio;Diminished and Augmented Triads;Note Density Variability
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\N6b.mid;5.4e1;7.419e-1;7e0;3.719e0;1e0;3.875e-1;3.875e-1;2.866e-1;5.435e-2;1.227e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\quartet01-3.mid;5.1e1;6.326e-1;5e0;3.616e0;2e0;2.421e-1;5.037e-1;1.747e-1;9.218e-2;2.626e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata01-1.mid;5.7e1;7.249e-1;5e0;3.494e0;1e0;1.567e-1;2.927e-1;2.811e-1;5.557e-2;1.784e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata01-2.mid;5.8e1;8.386e-1;5e0;3.514e0;2e0;2.046e-1;4.855e-1;2.922e-1;2.094e-2;1.587e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata01-3.mid;5.4e1;7.607e-1;5e0;3.617e0;2e0;1.959e-1;4.583e-1;1.705e-1;6.107e-2;1.515e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata01-4.mid;5.8e1;8.482e-1;7e0;3.467e0;3e0;5.071e-2;9.593e-2;1.885e-1;4.091e-2;3.781e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata03-1.mid;6e1;9.154e-1;5e0;3.454e0;1.2e1;1.336e-1;2.683e-1;1.939e-1;3.305e-2;3.407e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata03-2.mid;5.8e1;8.172e-1;7e0;3.478e0;1e0;1.412e-1;2.607e-1;1.82e-1;5.795e-3;1.648e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata03-3.mid;5.9e1;9.521e-1;7e0;3.592e0;1e0;2.24e-1;3.507e-1;1.381e-1;1.559e-2;3.537e0
C:\Users\arnar\OneDrive\Desktop\HR-verkefni\Gagnanám og Vitvélar\Research project\Beethoven MIDI\sonata03-4.mid;6e1;8.376e-1;7e0;3.518e0;2e0;1.467e-1;3.189e-1;1.892e-1;7.433e-2;4.442e0
